"","X29","X29.1","X29.2","X25","X29.3","X25.1","X26","X21","X29.4","X21.1","X21.2","X21.3","X29.5","X29.6","X29.7","X21.4","X21.5","X25.2","X21.6","X24","X29.8","DOC.CLASS"
"1978",45,44,45,41,44,35,36,41,45,40,40,39,44,43,44,40,39,41,41,35,43,"broadsheet"
"1979",27,27,27,25,27,25,25,26,27,27,27,27,27,27,27,27,27,25,26,25,27,"broadsheet"
"1980",21,20,21,19,21,17,17,19,21,20,20,20,20,20,20,20,20,19,19,16,21,"broadsheet"
"1981",41,41,41,36,41,38,38,35,41,38,38,38,40,40,41,38,38,36,35,37,41,"broadsheet"
"1982",50,48,50,45,48,41,41,44,50,47,47,47,48,48,48,47,47,45,42,40,49,"broadsheet"
"1983",23,23,23,21,23,22,22,22,23,21,21,21,23,23,23,21,21,21,22,22,23,"broadsheet"
"1984",34,34,34,33,34,32,31,29,34,34,34,34,34,34,34,34,34,33,29,32,34,"broadsheet"
"1985",32,32,32,28,32,28,29,26,32,31,31,31,32,32,32,31,31,26,26,27,32,"broadsheet"
"1986",35,34,35,33,35,33,33,34,35,33,33,33,33,33,34,33,33,33,34,33,34,"broadsheet"
"1987",28,28,28,26,28,25,24,25,28,27,27,27,28,28,28,27,27,26,25,25,28,"broadsheet"
"1988",44,44,44,40,44,40,40,37,44,43,43,43,43,43,44,43,43,40,37,39,44,"broadsheet"
"1989",38,38,38,34,38,34,32,32,38,36,36,36,37,37,38,36,36,34,32,33,38,"broadsheet"
"1990",19,19,19,19,19,19,18,19,19,18,18,18,19,19,19,18,18,19,19,19,19,"broadsheet"
"1991",20,19,20,20,20,17,17,17,20,17,17,17,18,18,19,17,17,20,17,17,20,"broadsheet"
"1992",44,44,44,31,44,24,24,30,44,40,40,39,43,43,44,40,39,31,30,24,42,"broadsheet"
"1993",28,27,28,26,27,25,25,24,28,26,26,25,26,26,27,26,25,26,24,25,27,"broadsheet"
"1994",36,34,36,31,35,34,35,29,36,33,33,33,33,33,34,33,33,31,29,33,36,"broadsheet"
"1995",28,28,28,25,28,24,23,24,28,27,27,27,28,28,28,27,27,25,24,24,27,"broadsheet"
"1996",19,19,19,19,19,15,18,18,19,16,16,16,19,19,19,16,16,19,18,15,19,"broadsheet"
"1997",20,20,20,18,20,18,20,18,20,18,18,18,19,19,20,18,18,18,18,18,20,"broadsheet"
"1998",37,36,37,34,36,34,34,33,37,36,36,36,36,36,36,36,36,34,33,34,36,"broadsheet"
"1999",21,21,21,21,21,20,20,17,20,21,20,20,19,19,21,20,20,21,17,20,20,"broadsheet"
"2000",20,20,20,20,20,19,20,19,20,20,20,20,20,20,20,20,20,20,19,19,20,"broadsheet"
