"","X.date","X.location","X.money","X.organization","X.percent","X.person","X.time","DOC.CLASS"
"175",1,1,0,10,0,20,0,"tabloid"
"176",4,0,3,3,0,42,0,"tabloid"
"177",1,0,0,11,0,18,0,"tabloid"
"178",4,8,2,11,0,18,0,"tabloid"
"179",8,6,0,7,0,55,0,"tabloid"
"180",2,1,5,1,0,16,0,"tabloid"
"181",0,2,3,3,0,15,0,"tabloid"
"182",1,0,0,9,0,21,0,"tabloid"
"183",2,0,0,14,0,9,0,"tabloid"
"184",3,5,0,2,0,21,0,"tabloid"
"185",1,0,0,13,0,7,0,"tabloid"
"186",0,7,8,28,0,10,0,"tabloid"
"187",1,6,0,6,0,13,0,"tabloid"
"188",2,8,0,4,0,17,0,"tabloid"
"189",0,6,0,1,0,18,0,"tabloid"
"190",7,0,0,7,2,15,0,"tabloid"
"191",8,0,14,17,0,18,0,"tabloid"
"192",5,0,0,8,0,23,1,"tabloid"
"193",1,2,0,24,0,12,0,"tabloid"
"194",5,0,0,13,0,18,0,"tabloid"
"195",12,6,0,7,0,2,1,"tabloid"
"196",2,5,0,1,0,21,2,"tabloid"
"197",5,0,0,15,0,28,0,"tabloid"
"198",4,2,4,16,0,6,0,"tabloid"
"199",1,0,0,12,0,7,0,"tabloid"
"200",2,12,0,10,0,63,0,"tabloid"
"201",5,2,0,4,0,15,0,"tabloid"
"202",9,5,3,7,0,16,0,"tabloid"
"203",7,6,3,13,0,46,0,"tabloid"
"204",5,5,0,2,0,11,0,"tabloid"
"205",3,7,2,10,0,36,1,"tabloid"
"206",7,8,0,16,0,10,0,"tabloid"
"207",2,15,2,21,0,31,0,"tabloid"
"208",0,11,0,9,0,22,0,"tabloid"
"209",0,2,0,3,0,27,0,"tabloid"
"210",0,2,0,2,0,19,0,"tabloid"
"211",1,0,2,4,0,15,0,"tabloid"
"212",4,2,0,16,2,11,0,"tabloid"
"213",4,6,0,3,0,39,0,"tabloid"
"214",2,8,0,9,0,13,0,"tabloid"
"215",5,8,0,12,0,32,0,"tabloid"
"216",7,4,0,2,0,18,0,"tabloid"
"217",5,0,0,3,0,28,0,"tabloid"
"218",22,3,6,2,0,10,0,"tabloid"
"219",3,5,6,20,2,6,4,"tabloid"
"220",0,3,3,9,0,21,0,"tabloid"
"221",4,2,10,11,0,7,0,"tabloid"
"222",0,3,0,17,2,43,0,"tabloid"
"223",5,2,2,13,0,19,0,"tabloid"
"224",3,0,0,13,0,19,2,"tabloid"
"225",5,2,3,6,0,43,0,"tabloid"
"226",0,12,0,6,0,11,0,"tabloid"
"227",4,5,3,8,0,24,0,"tabloid"
"228",4,8,0,0,0,9,5,"tabloid"
"229",3,6,0,25,2,51,0,"tabloid"
"230",3,5,7,13,0,50,0,"tabloid"
"231",1,0,0,10,0,9,0,"tabloid"
"232",3,2,5,3,0,19,0,"tabloid"
"233",10,8,0,4,0,11,0,"tabloid"
"234",6,0,0,4,0,9,0,"tabloid"
"235",1,5,6,8,0,19,0,"tabloid"
"236",1,9,0,4,0,50,0,"tabloid"
"237",20,4,17,23,0,25,0,"tabloid"
"238",0,0,10,3,0,10,0,"tabloid"
"239",13,5,0,7,0,38,0,"tabloid"
"240",0,7,2,24,0,34,0,"tabloid"
"241",0,10,3,21,0,21,0,"tabloid"
"242",6,7,9,7,0,14,0,"tabloid"
"243",5,10,5,12,0,12,0,"tabloid"
"244",6,4,3,12,0,20,1,"tabloid"
"245",1,3,0,2,0,11,1,"tabloid"
"246",1,6,0,6,0,22,0,"tabloid"
"247",3,5,0,17,0,23,0,"tabloid"
"248",7,6,10,27,0,44,0,"tabloid"
"249",13,5,2,21,0,23,4,"tabloid"
"250",2,23,0,12,0,25,4,"tabloid"
"251",0,4,0,0,0,0,0,"tabloid"
"252",1,5,0,19,0,9,1,"tabloid"
"253",12,2,0,5,0,13,0,"tabloid"
"254",2,2,0,23,0,6,0,"tabloid"
"255",4,2,0,0,0,26,0,"tabloid"
"256",3,5,0,5,0,17,1,"tabloid"
"257",1,7,0,2,0,23,0,"tabloid"
"258",3,0,19,5,0,18,0,"tabloid"
"259",3,4,2,10,0,33,1,"tabloid"
"260",7,4,0,7,0,24,0,"tabloid"
"261",2,6,0,8,0,0,0,"tabloid"
"262",3,5,0,6,0,10,1,"tabloid"
"263",6,2,0,3,0,11,1,"tabloid"
"264",2,2,3,8,4,13,0,"tabloid"
"265",2,11,6,28,0,33,0,"tabloid"
"266",5,9,0,0,0,15,0,"tabloid"
"267",3,0,8,4,0,18,0,"tabloid"
"268",0,3,0,5,2,9,0,"tabloid"
"269",2,3,0,27,0,16,1,"tabloid"
"270",1,7,4,14,0,29,0,"tabloid"
"271",3,1,8,19,0,22,1,"tabloid"
"272",2,17,0,6,0,33,1,"tabloid"
"273",2,2,0,21,0,16,2,"tabloid"
"274",2,0,0,36,0,16,0,"tabloid"
"275",2,0,0,0,0,17,0,"tabloid"
"276",7,4,0,26,0,27,2,"tabloid"
"277",5,4,2,11,0,26,2,"tabloid"
"278",2,1,0,3,0,12,0,"tabloid"
"279",7,0,0,1,0,7,1,"tabloid"
"280",2,4,8,10,0,22,0,"tabloid"
"281",6,4,3,7,0,6,0,"tabloid"
"282",4,3,0,12,0,24,1,"tabloid"
"283",3,0,0,26,0,16,0,"tabloid"
"284",1,1,0,0,0,33,0,"tabloid"
"285",4,11,3,24,0,52,0,"tabloid"
"286",27,7,0,9,0,18,0,"tabloid"
"287",16,0,0,17,0,46,0,"tabloid"
"288",1,5,0,15,0,23,0,"tabloid"
"289",3,3,0,21,0,5,0,"tabloid"
"290",7,10,6,11,0,18,0,"tabloid"
"291",2,2,0,3,0,15,0,"tabloid"
"292",4,6,3,18,0,16,0,"tabloid"
"293",5,3,0,7,0,11,0,"tabloid"
"294",5,4,0,28,0,8,1,"tabloid"
"295",4,7,0,17,0,9,0,"tabloid"
"296",8,3,0,11,0,12,1,"tabloid"
"297",6,13,13,28,0,65,0,"tabloid"
"298",1,0,0,10,0,11,0,"tabloid"
"299",5,6,0,15,0,8,0,"tabloid"
"300",2,2,0,4,0,13,0,"tabloid"
"301",5,3,0,8,0,9,3,"tabloid"
"302",6,3,0,8,0,20,1,"tabloid"
"303",2,7,5,2,2,9,0,"tabloid"
"304",3,2,0,9,0,36,0,"tabloid"
"305",5,0,0,19,0,32,0,"tabloid"
"306",4,0,0,0,0,24,0,"tabloid"
"307",11,1,8,11,0,17,0,"tabloid"
"308",4,9,0,12,0,6,0,"tabloid"
"309",2,4,0,3,0,21,0,"tabloid"
"310",1,9,0,6,2,17,0,"tabloid"
"311",5,1,0,9,0,25,0,"tabloid"
"312",6,9,4,34,0,20,0,"tabloid"
"313",1,0,0,1,0,40,0,"tabloid"
"314",0,1,0,17,0,26,0,"tabloid"
"315",3,0,0,19,0,25,0,"tabloid"
"316",0,9,0,2,0,15,1,"tabloid"
"317",1,0,0,12,0,15,1,"tabloid"
"318",1,5,0,13,0,11,0,"tabloid"
"319",12,2,4,2,0,23,0,"tabloid"
"320",0,13,0,11,0,4,0,"tabloid"
"321",2,7,2,1,0,19,0,"tabloid"
"322",17,1,0,10,0,48,0,"tabloid"
"323",2,0,0,7,0,22,0,"tabloid"
"324",7,0,0,9,0,12,0,"tabloid"
"325",5,9,0,5,0,13,5,"tabloid"
"326",1,1,0,9,0,38,0,"tabloid"
"327",4,9,0,15,0,22,1,"tabloid"
"328",4,9,5,10,0,21,1,"tabloid"
"329",3,0,6,28,0,31,0,"tabloid"
"330",4,4,0,15,2,10,0,"tabloid"
"331",19,8,0,21,0,76,0,"tabloid"
"332",9,8,0,8,0,15,2,"tabloid"
"333",17,22,4,14,0,44,10,"tabloid"
"334",7,7,0,33,0,21,0,"tabloid"
"335",1,9,0,2,0,22,4,"tabloid"
"336",10,12,0,5,0,7,0,"tabloid"
"337",2,1,0,5,0,14,0,"tabloid"
"338",0,5,0,6,0,14,0,"tabloid"
"339",9,0,0,18,0,31,0,"tabloid"
"340",10,13,7,39,0,50,0,"tabloid"
